100	3	90
1	0.03	0.01
43
1	0	1	15	2	3	A
2	0	1	10	3	4	B
3	0	1	12	1	2	C
4	0	1	10	2	4	C
5	1	1	15	20	2	D
6	1	1	15	15	3	A
7	1	1	20	10	4	B
8	2	1	25	17	5	C
9	2	1	20	18	2	D
10	2	1	10	9	3	A
11	2	1	20	14	4	B
12	1	1	10	20	1	C
13	2	1	10	25	2	D
14	1	1	15	19	1	A
15	2	1	10	10	3	B
16	1	1	20	11	1	C
17	1	1	20	14	1	D
18	1	2	20	20	3	A
19	2	2	10	10	3	A
20	1	2	20	20	3	A
21	0	2	20	2	4	B
22	2	2	10	10	4	B
23	1	2	15	20	4	B
24	2	2	10	10	4	B
25	2	2	10	10	2	C
26	1	2	20	20	4	C
27	2	2	10	10	4	C
28	1	2	15	20	4	C
29	0	2	15	2	2	D
30	1	2	15	15	3	A
31	1	2	20	10	4	B
32	2	2	25	17	5	C
33	2	2	10	18	2	D
34	1	2	20	18	2	D
35	2	2	15	18	2	D
36	2	3	10	9	3	A
37	2	3	20	14	4	B
38	1	3	10	20	1	C
39	2	3	10	25	2	D
40	1	3	15	19	1	A
41	2	3	10	10	3	B
42	1	3	20	11	1	C
43	1	3	20	14	1	D


